Dia_do_Teste;MSFT_Real_US$;MSFT_Previsto_US$;NVDA_Real_US$;NVDA_Previsto_US$;GOOGL_Real_US$;GOOGL_Previsto_US$;META_Real_US$;META_Previsto_US$
128;412,9684753417969;417,779203892684;140,06410217285156;141,6481693080632;183,71067810058594;180,6242421922929;692,0632934570312;690,9420855305278
129;405,108642578125;425,69016057273797;134,38595581054688;141,84796074746959;178,83322143554688;180,05684379442013;680,8184204101562;685,1834496625717
130;400,93060302734375;419,7450890704417;130,23733520507812;139,24829604953584;178,42510986328125;177,03228915653958;665,4600219726562;676,4181917796901
131;394,8769836425781;415,47343685286256;126,58852386474611;136,3861870312548;174,6127471923828;176,38189227187982;654,87255859375;665,5781079048784
132;396,6930847167969;408,0944903481281;131,23699951171875;131,45421369762258;171,9351043701172;172,644865711949;671,0077514648438;650,8031011186114
133;389,5477600097656;410,14818537368427;120,11065673828125;132,85603403304873;167,72457885742188;172,49043709556676;655,6095581054688;662,4724845632043
134;393,9739074707031;402,393870042954;124,87908172607422;128,38862615087385;169,4963836669922;169,03350239109807;665,5297241210938;654,7996569051821
135;385,5384826660156;405,0383129189025;114,02263641357423;125,4139981043241;166,24143981933594;169,41877778476598;652,4323120117188;653,6005762300289
136;385,65753173828125;398,9726731380197;115,9520034790039;121,39675925093255;170,13345336914062;167,123031126537;637,4423828125;650,3558638554764
137;397,9732666015625;396,6828809811224;117,26158142089842;118,35009166368884;172,2238006591797;167,8869315520293;653,8466186523438;635,4690461889562
138;393,8746643066406;406,18151913499656;110,53378295898438;120,11607565410861;171,556884765625;170,60035769565238;625,420654296875;644,1617392137721
139;390,3218688964844;402,3902086679047;112,65309143066406;116,27162489934496;173,05990600585938;168,89022545192665;623,1597290039062;631,0033945968363
140;377,2717590332031;401,12968395329403;106,94496154785156;114,83224441795309;165,2968292236328;169,96139600195806;595,6002807617188;619,7223139768995
141;377,5595397949219;390,5691534294754;108,72438049316406;110,76843576375151;163,47314453125;164,9940573312522;603,2894897460938;599,1295554267355
142;380,35809326171875;389,67016910577297;115,71273803710936;110,6024931324715;166,53256225585938;163,42168415830335;617,0841674804688;602,5344217322435
143;375,8923034667969;394,69753969260506;115,55277252197266;115,20984564752348;162,19757080078125;165,6012743279342;588,2797241210938;618,6494691637414
144;385,60791015625;391,8525519456669;121,6413345336914;116,10324863351383;164,91815185546875;163,9459914429854;605,7102661132812;603,5883487236055
145;385,7469177246094;398,34962879990564;119,50183868408202;119,98482274057179;163,72230529785156;165,23660945092055;603,0187377929688;605,7121499157307
146;380,6062316894531;400,219015618364;115,40280151367186;121,13865500351183;160,11480712890625;165,44487388696086;580,548828125;603,2960372304211
147;384,87359619140625;393,63696401915115;117,49230957031249;117,95313053033146;163,3236846923828;162,91055206901615;582,2435913085938;583,6779591989209
148;383,9010314941406;398,8972021308845;118,50206756591798;119,45084460527191;162,23744201660156;165,41665076647735;584,1774291992188;583,4807710284755
149;388,28741455078125;397,17046663919024;117,6722640991211;119,24060164207893;163,42333984375;164,57609213538916;594,3955688476562;582,403526262968
150;390,0935974121094;401,115587876965;121,38140106201173;119,24910121360523;167,10058593749997;165,16068016626303;616,9253540039062;585,7261628633325
151;392,1578063964844;406,65340198296826;120,66156768798828;122,11728532627318;169,97064208984375;167,69636402828397;624,3621826171875;605,9341373074946
152;387,0072326660156;405,7414072549771;113,73320007324219;122,52498321994968;164,48963928222656;169,23414442911724;609,079833984375;612,2826648529865
153;387,6125793457031;401,9182238008914;111,4037551879883;119,62952849877378;161,67938232421875;167,03946534928238;600,7059936523438;605,9039445712981
154;375,9220886230469;400,250878617755;109,6441650390625;116,62236665389985;153,7967071533203;164,78891555966234;574,9463500976562;598,1352829464585
155;372,5379943847656;394,4948763919749;108,35446166992188;113,83101006671974;154,10565185546875;160,63375274330173;574,5675048828125;581,6452043668813
156;379,28631591796875;387,4956808887989;110,12405395507812;110,34184159478721;156,5272674560547;157,9278231943131;584,1774291992188;566,6981008741684
